epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1005.77,1.90607,1.45546,1.37233,0.85622,0.79078,0.86133,0.42004,1.75544,0.97126,1.315,0.000664694,0.000664694,0.000664694
2,2007.51,1.73223,1.01217,1.26621,0.88431,0.83165,0.90038,0.47488,1.6367,0.93063,1.24919,0.00127864,0.00127864,0.00127864
3,2995.61,1.70244,0.95746,1.25095,0.86081,0.81735,0.89022,0.46815,1.64175,0.88037,1.27395,0.00183978,0.00183978,0.00183978
4,3986.08,1.69016,0.93835,1.25011,0.85441,0.81378,0.88424,0.45964,1.63319,0.92886,1.27104,0.0017624,0.0017624,0.0017624
5,4978.05,1.65735,0.89138,1.22984,0.84654,0.8149,0.88141,0.45905,1.65053,0.9037,1.29086,0.0016832,0.0016832,0.0016832
6,6067.9,1.64449,0.8664,1.22684,0.88931,0.84546,0.91523,0.49675,1.59489,0.81593,1.26606,0.001604,0.001604,0.001604
7,7137.62,1.63879,0.85397,1.22184,0.88818,0.84444,0.91292,0.49784,1.57685,0.80454,1.24678,0.0015248,0.0015248,0.0015248
8,8198.15,1.63076,0.84689,1.22297,0.89908,0.85976,0.92477,0.51549,1.55777,0.75278,1.23725,0.0014456,0.0014456,0.0014456
9,9274.93,1.61903,0.83299,1.21444,0.88477,0.81979,0.90087,0.48634,1.6036,0.82144,1.25233,0.0013664,0.0013664,0.0013664
10,10328.4,1.60668,0.81873,1.21282,0.8977,0.85748,0.92322,0.51379,1.55831,0.76195,1.24586,0.0012872,0.0012872,0.0012872
11,11382.7,1.59929,0.8093,1.21092,0.89636,0.85543,0.92239,0.51615,1.55304,0.75276,1.24095,0.001208,0.001208,0.001208
12,12449.1,1.59155,0.80562,1.20769,0.90603,0.86158,0.92733,0.51814,1.55492,0.74009,1.24903,0.0011288,0.0011288,0.0011288
13,13534.9,1.57021,0.78585,1.19523,0.89301,0.85446,0.91978,0.51309,1.54821,0.76049,1.23861,0.0010496,0.0010496,0.0010496
14,16860.9,1.5699,0.77872,1.19823,0.89148,0.86189,0.92393,0.51592,1.55807,0.74536,1.24731,0.0009704,0.0009704,0.0009704
15,17950.2,1.56772,0.77789,1.19948,0.90921,0.87142,0.9338,0.52781,1.52947,0.71001,1.23697,0.0008912,0.0008912,0.0008912
16,19028.2,1.55752,0.76525,1.21964,0.91084,0.86109,0.93002,0.52627,1.52719,0.71356,1.232,0.000812,0.000812,0.000812
17,21160.9,1.546,0.75203,1.20846,0.91077,0.86792,0.933,0.53111,1.51155,0.7254,1.21975,0.0007328,0.0007328,0.0007328
18,22351.1,1.53384,0.74737,1.21253,0.91352,0.8722,0.93619,0.53668,1.51264,0.69615,1.22607,0.0006536,0.0006536,0.0006536
19,23396.3,1.53624,0.73534,1.20666,0.90797,0.87275,0.93263,0.52309,1.55645,0.69558,1.2507,0.0005744,0.0005744,0.0005744
20,24419.6,1.51965,0.72584,1.20319,0.91324,0.8754,0.93724,0.53886,1.50033,0.69675,1.22042,0.0004952,0.0004952,0.0004952
21,25454.6,1.51079,0.72255,1.20008,0.90867,0.87451,0.93506,0.52953,1.52746,0.69964,1.2342,0.000416,0.000416,0.000416
22,26497.2,1.49797,0.71178,1.19516,0.91466,0.87542,0.93862,0.53848,1.50832,0.67981,1.22881,0.0003368,0.0003368,0.0003368
23,27514.7,1.49748,0.70709,1.1933,0.91747,0.87696,0.94058,0.54347,1.49564,0.67665,1.22528,0.0002576,0.0002576,0.0002576
24,28541.9,1.48819,0.69772,1.19116,0.91565,0.87852,0.94059,0.54478,1.48501,0.67866,1.21661,0.0001784,0.0001784,0.0001784
25,29624.6,1.48125,0.69536,1.18582,0.9137,0.882,0.94077,0.54451,1.49212,0.67064,1.21977,9.92e-05,9.92e-05,9.92e-05
